"IDROWCOL","Value"
"2019_Preston_W1_8_8",1
"2019_Preston_W2_8_8",4
"2019_Preston_W3_8_8",2
"2019_Preston_STD_8_9",4
"2019_Preston_V1_8_9",3
"2019_Preston_V2_8_9",3
"2019_Preston_V3_8_9",3
"2019_Preston_W1_8_9",2
"2019_Preston_W2_8_9",4
"2019_Preston_W3_8_9",2
"2019_Preston_STD_9_1",2
"2019_Preston_V1_9_1",2
"2019_Preston_V2_9_1",3
"2019_Preston_V3_9_1",2
"2019_Preston_W1_9_1",1
"2019_Preston_W2_9_1",3
"2019_Preston_W3_9_1",2
"2019_Preston_STD_9_2",3
"2019_Preston_V1_9_2",3
"2019_Preston_V2_9_2",3
"2019_Preston_V3_9_2",3
"2019_Preston_W1_9_2",2
"2019_Preston_W2_9_2",4
"2019_Preston_W3_9_2",3
"2019_Preston_STD_9_3",3
"2019_Preston_V1_9_3",2
"2019_Preston_V2_9_3",2
"2019_Preston_V3_9_3",2
"2019_Preston_W1_9_3",1
"2019_Preston_W2_9_3",3
"2019_Preston_W3_9_3",3
"2019_Preston_STD_9_4",3
"2019_Preston_V1_9_4",3
"2019_Preston_V2_9_4",2
"2019_Preston_V3_9_4",2
"2019_Preston_W1_9_4",2
"2019_Preston_W2_9_4",3
"2019_Preston_W3_9_4",3
"2019_Preston_STD_9_5",3
"2019_Preston_V1_9_5",3
"2019_Preston_V2_9_5",2
"2019_Preston_V3_9_5",2
"2019_Preston_W1_9_5",1
"2019_Preston_W2_9_5",3
"2019_Preston_W3_9_5",2
"2019_Preston_STD_9_6",2
"2019_Preston_V1_9_6",3
"2019_Preston_V2_9_6",2
"2019_Preston_V3_9_6",2
"2019_Preston_W1_9_6",1
"2019_Preston_W2_9_6",3
"2019_Preston_W3_9_6",3
"2019_Preston_STD_9_7",2
"2019_Preston_V1_9_7",2
"2019_Preston_V2_9_7",3
"2019_Preston_V3_9_7",3
"2019_Preston_W1_9_7",1
"2019_Preston_W2_9_7",3
"2019_Preston_W3_9_7",3
"2019_Preston_STD_9_8",3
"2019_Preston_V1_9_8",3
"2019_Preston_V2_9_8",2
"2019_Preston_V3_9_8",3
"2019_Preston_W1_9_8",1
"2019_Preston_W2_9_8",4
"2019_Preston_W3_9_8",3
"2019_Preston_STD_9_9",3
"2019_Preston_V1_9_9",4
"2019_Preston_V2_9_9",2
"2019_Preston_V3_9_9",3
"2019_Preston_W1_9_9",2
"2019_Preston_W2_9_9",3
"2019_Preston_W3_9_9",3
"2019_Preston_STD_10_1",3
"2019_Preston_V1_10_1",2
"2019_Preston_V2_10_1",4
"2019_Preston_V3_10_1",3
"2019_Preston_W1_10_1",6
"2019_Preston_W2_10_1",4
"2019_Preston_W3_10_1",2
"2019_Preston_STD_10_2",2
"2019_Preston_V1_10_2",3
"2019_Preston_V2_10_2",2
"2019_Preston_V3_10_2",3
"2019_Preston_W1_10_2",5
"2019_Preston_W2_10_2",3
"2019_Preston_W3_10_2",2
"2019_Preston_STD_10_3",4
